# GREAT version 3.0.0	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Term Name 	 Binom Rank 	 Binom Raw P-Value 	  Binom FDR Q-Val  	 Binom Fold Enrichment 	 Binom Observed Region Hits 	 Binom Region Set Coverage 	 Hyper Rank 	  Hyper FDR Q-Val  	 Hyper Fold Enrichment 	 Hyper Observed Gene Hits 	 Hyper Total Genes 	 Hyper Gene Set Coverage
ribonucleoprotein complex binding	2	2.600287e-11	4.5283998105e-8	4.259424	32	0.00976801	63	0.0004415146444285714	2.298159	27	63	0.006837174	
rRNA binding	3	3.188611e-11	3.7019773710000004e-8	7.030364	20	0.006105006	99	0.013421293690909091	2.437441	15	33	0.00379843	
unfolded protein binding	6	9.025566e-10	5.239341062999999e-7	3.881098	30	0.009157509	98	0.013269195762244898	2.021877	23	61	0.005824259	
acetyltransferase activity	17	3.766502e-8	0.000007716897921176471	2.602448	43	0.01312576	49	0.00004493732480816327	2.156005	39	97	0.009875918	
snRNA binding	26	2.414231e-7	0.00003234140989615385	9.170811	10	0.003052503	101	0.01565103292574257	3.217422	9	15	0.002279058	
translation factor activity, nucleic acid binding	30	0.000001526539	0.0001772311779	2.337614	40	0.01221001	53	0.000146296449	2.11072	37	94	0.009369461	
single-stranded DNA binding	33	0.000004250073	0.0004485758866363636	2.82155	26	0.007936508	54	0.00014470704	2.573938	24	50	0.006077488	
mRNA 3'-UTR binding	34	0.000004739105	0.00048547949161764696	3.629468	18	0.005494505	108	0.025818027749999996	2.573938	12	25	0.003038744	
N-acetyltransferase activity	35	0.000006286121	0.0006255588412285714	2.34333	35	0.01068376	67	0.0009046364708955224	2.06742	32	83	0.008103317	
tRNA binding	36	0.000006351253	0.00061448372775	3.909218	16	0.004884005	80	0.00263945135925	2.77364	15	29	0.00379843	
translation initiation factor activity	40	0.00001585384	0.001380473118	2.506014	28	0.008547009	61	0.00031654320506557376	2.335226	27	62	0.006837174	
N-acyltransferase activity	41	0.00002113277	0.0017952545831707318	2.128542	38	0.01159951	88	0.009156581396590908	1.805154	34	101	0.008609775	
cyclin-dependent protein serine/threonine kinase activity	44	0.00004247779	0.0033625032402272727	2.699321	22	0.006715507	74	0.0016782736658108109	2.767675	16	31	0.004051659	
NF-kappaB binding	49	0.00006976831	0.004959245382244897	3.741665	13	0.003968254	103	0.01709851365436893	2.979095	10	18	0.002532287	
histone acetyltransferase activity	50	0.00007412927	0.0051638449482	2.422091	25	0.007631258	64	0.00081718309265625	2.457753	22	48	0.005571031	
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	54	0.00009938996	0.00641065242	3.237611	15	0.004578755	105	0.01876633434	2.365752	15	34	0.00379843	
deoxyribonuclease activity	62	0.0001493709	0.008391271688709677	2.983062	16	0.004884005	95	0.012337346946315789	2.383276	16	36	0.004051659	
mRNA methyltransferase activity	88	0.0005461538	0.021616519152272726	7.74688	5	0.001526252	118	0.03367246332203389	4.468642	5	6	0.001266143	
small conjugating protein-specific protease activity	91	0.0005697192	0.02180584586373626	2.040443	27	0.008241758	71	0.0015050847523943663	2.234321	25	60	0.006330717	
ribosome binding	95	0.000662227	0.024279333063157896	2.949014	13	0.003968254	115	0.033072387339130434	2.403821	13	29	0.003291973	
